symbol,company_name,as_of_date,sector,sub_sector,board,is_event_90d,event_date,event_category,already_flagged,data_complete,feature_max_source_date,raw_revenue,raw_earnings,raw_total_equity,raw_total_liabilities,raw_total_assets,raw_total_debt,raw_operating_cash_flow,raw_free_cash_flow,raw_report_date,raw_close,raw_volume,raw_market_cap,raw_free_float,lapor_jarak_hari,lapor_terlambat,tanpa_pendapatan,ekuitas_negatif,utang_terhadap_aset,ako_negatif_berturut,hari_tanpa_transaksi_90d,rasio_volume_30_90,hari_di_batas_bawah_90d,turun_dari_puncak_90d,volatilitas_90d,free_float_rendah
TLKM.JK,PT Telkom Indonesia (Persero) Tbk,2026-08-15,Infrastructures,Telecommunication,Main,0,,,0,1,2026-08-14,38689000000000.0,6279000000000.0,134848000000000,168239000000000,303087000000000,56915000000000.0,17572000000000.0,11317000000000.0,2026-06-30,2620,80799200,259543007492000,,46,1,0.0,0,0.5550848436257576,0,0,0.8007545870480816,0,0.11486486486486487,0.025166723793845342,
ASII.JK,Astra International Tbk,2026-08-15,Industrials,Multi-sector Holdings,Main,0,,,0,1,2026-08-14,79245000000000.0,6683000000000.0,289844000000000,224673000000000,514517000000000,119090000000000.0,9980000000000.0,7082000000000.0,2026-06-30,4780,31883200,193511384009200,,46,1,0.0,0,0.43666778745891777,0,0,0.9025179888456086,0,0.07184466019417475,0.021202135363183407,
AMMN.JK,PT Amman Mineral Internasional Tbk.,2026-08-15,Basic Materials,Basic Materials,Main,0,,,0,1,2026-08-14,13732936650720.0,2722562272140.0,94870592355600,143273384112480,238143976468080,110786062912260.0,3289192602240.0,1690559055360.0,2026-03-31,4270,47216700,309652789391120,,137,1,0.0,0,0.6016250599211939,0,0,0.9656863900507539,0,0.033936651583710405,0.03737518652674394,
IMPC.JK,PT Impack Pratama Industri Tbk,2026-08-15,Industrials,Industrial Goods,Main,0,,,0,1,2026-08-14,1289965716265.0,243898051256.0,3413006148968,1911646326302,5324652475270,1060939124233.0,271762241515.0,154982281413.0,2026-06-30,1405,5125800,77144335000000,,46,1,0.0,0,0.35901804581247626,0,0,0.8174962055044716,0,0.21288515406162464,0.03438006458232102,
AADI.JK,PT Adaro Andalan Indonesia Tbk,2026-08-15,Energy,"Oil, Gas & Coal",Main,0,,,0,1,2026-08-14,26891529196000.0,5919682573000.0,70419659821000,42728474901000,113148134722000,12581189201000.0,7241595319000.0,6361036115000.0,2026-06-30,9425,10679400,73391454838000,,46,1,0.0,0,0.37763304720826363,0,0,0.7909313099800337,0,0.0,0.01795902525007471,
MGLV.JK,PT Panca Anugrah Wisesa Tbk,2026-08-15,Consumer Cyclicals,Household Goods,Acceleration,0,2026-09-09,A,0,1,2026-08-14,,,114233933519,69809832851,184043766370,7625053.0,,,2026-06-30,9975,2688600,19001212024725,,46,1,,0,0.37931104230205176,0,0,1.5318783044423456,0,0.0,0.03847693507087855,
SOHO.JK,PT Soho Global Health Tbk,2026-08-15,Healthcare,Pharmaceuticals & Health Care Research,Development,0,,,0,1,2026-08-14,2726781000000.0,183064000000.0,2454603000000,3139705000000,5594308000000,4504000000.0,324210000000.0,316783000000.0,2026-06-30,1175,33100,14912726808250,,46,1,0.0,0,0.561232059443277,0,0,1.3079613173113505,0,0.048582995951417005,0.024623249827498358,
BELI.JK,PT Global Digital Niaga Tbk,2026-08-15,Technology,Software & IT Services,New Economy,0,,,0,1,2026-08-14,6995135000000.0,-408352000000.0,9336174000000,9414947000000,18751121000000,3702772000000.0,-71356000000.0,-144340000000.0,2026-06-30,270,1354300,37049126136030,,46,1,0.0,0,0.5021004877521723,4,0,1.4975519103498722,0,0.1118421052631579,0.020439319548545394,
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk,2026-08-15,Healthcare,Healthcare Equipment & Providers,Main,0,,,0,1,2026-08-14,657127000000.0,-154081000000.0,1091118000000,6530636000000,7621754000000,4262967000000.0,90941000000.0,-155705000000.0,2026-06-30,15000,2500,183584399850000,,46,1,0.0,0,0.8568416141481344,0,1,0.14466493430824015,0,0.0,0.0369130104322102,
BRPT.JK,Barito Pacific Tbk,2026-08-15,Basic Materials,Basic Materials,Main,0,,,0,1,2026-08-14,55767627916000.0,1790061091000.0,116231165876000,222987460304000,339218626180000,153428599191000.0,2561024718000.0,-1392953877000.0,2026-06-30,1870,90082200,175307297742280,,46,1,0.0,0,0.6573561800397006,0,0,0.9470005099757071,0,0.041025641025641026,0.04589601463246379,
TPIA.JK,PT Chandra Asri Pacific Tbk,2026-08-15,Basic Materials,Basic Materials,Development,0,,,0,1,2026-08-14,52713056172000.0,2454078193000.0,88856274185000,157543632988000,246399907173000,105799861363000.0,3593045260000.0,-707905450000.0,2026-06-30,2010,426815200,173888205634920,,46,1,0.0,0,0.6393818682625839,0,0,1.0110611598782238,0,0.11842105263157894,0.04489821709148751,
UDNG.JK,PT Agro Bahari Nusantara Tbk,2026-08-15,Consumer Non-Cyclicals,Food & Beverage,Acceleration,0,2026-09-16,A,1,1,2026-08-14,,,48190746814,6954165453,55144912267,,,,2026-06-30,1300,1067100,2275052093600,,46,1,,0,0.12610710883588683,0,0,0.7528746190138199,0,0.30666666666666664,0.058366919826239504,
PACK.JK,PT Abadi Nusantara Hijau Investama Tbk,2026-08-15,Basic Materials,Basic Materials,Acceleration,0,2026-09-01,A,0,1,2026-08-14,,,5194540056633,73912838529,5268452895162,817362404.0,,,2026-06-30,296,276164800,10093611714200,,46,1,,0,0.01402932511684291,0,0,1.435404369956234,0,0.0,0.045642194407493814,
MDIA.JK,PT Intermedia Capital Tbk,2026-08-15,Consumer Cyclicals,Media & Entertainment,Watchlist,0,,,1,1,2026-08-14,141716426000.0,-8280082000.0,935495254000,2194222124000,3129717378000,3299889000.0,33342610000.0,31858578000.0,2026-03-31,280,0,10980350752000,,137,1,0.0,0,0.7010927374541996,0,3,1.7441402825208299,0,0.0,0.09067530733936742,
LUCY.JK,PT Lima Dua Lima Tiga Tbk,2026-08-15,Consumer Cyclicals,Consumer Services,Acceleration,0,,,1,1,2026-08-14,,,21071931970,47909736398,68981668368,1101724170.0,,,2026-06-30,286,19287500,433225333398,,46,1,,0,0.6945285252077915,0,1,1.5719111402272823,0,0.8287425149700599,0.06736875528266134,
MLPT.JK,PT Multipolar Technology Tbk,2026-08-15,Technology,Software & IT Services,Development,0,,,1,1,2026-08-14,938883000000.0,107929000000.0,745801000000,2990887000000,3736688000000,214118000000.0,73746000000.0,61837000000.0,2026-06-30,1415,2305600,66328125000000,,46,1,0.0,0,0.8004112197753732,0,0,1.9506195976240885,0,0.2649350649350649,0.09540572190105066,
INET.JK,PT Sinergi Inti Andalan Prima Tbk,2026-08-15,Infrastructures,Telecommunication,Development,0,,,0,1,2026-08-14,383603471565.0,13658452028.0,3732955579367,1957595840407,5690551419774,1531576615350.0,1117195280.0,-432274458503.0,2026-03-31,234,230066400,5235811198488,,137,1,0.0,0,0.3440081102869194,0,0,1.1447652499018548,0,0.01680672268907563,0.044885073070338274,
MINA.JK,PT Sanurhasta Mitra Tbk,2026-08-15,Consumer Cyclicals,Consumer Services,Watchlist,0,,,1,1,2026-08-14,2245525100.0,312813236.0,250610826355,3039806857,253650633212,,315801422.0,-593887632.0,2026-06-30,266,25017600,2618437500000,,46,1,0.0,0,0.011984227354399482,0,0,1.040114746165701,0,0.11920529801324503,0.03795864560019521,
BBCA.JK,PT Bank Central Asia Tbk.,2026-08-31,Financials,Banks,Main,0,,,0,1,2026-08-31,28677339000000.0,14861321000000.0,270667746000000,1379511881000000,1660579336000000,,-15658754000000.0,-16453704000000.0,2026-06-30,6475,230904500,790223889262500,,62,1,0.0,0,0.8307413268931585,1,0,0.6049297231314267,0,0.007662835249042145,0.020815055696147132,
TLKM.JK,PT Telkom Indonesia (Persero) Tbk,2026-08-31,Infrastructures,Telecommunication,Main,0,,,0,1,2026-08-31,38689000000000.0,6279000000000.0,134848000000000,168239000000000,303087000000000,56915000000000.0,17572000000000.0,11317000000000.0,2026-06-30,2600,204591800,257561763160000,,62,1,0.0,0,0.5550848436257576,0,0,0.7858887424206682,0,0.12162162162162163,0.023069845010942207,
ASII.JK,Astra International Tbk,2026-08-31,Industrials,Multi-sector Holdings,Main,0,,,0,1,2026-08-31,79245000000000.0,6683000000000.0,289844000000000,224673000000000,514517000000000,119090000000000.0,9980000000000.0,7082000000000.0,2026-06-30,4800,79688700,194321055072000,,62,1,0.0,0,0.43666778745891777,0,0,0.8961315553932984,0,0.06796116504854369,0.019416441096611534,
AMMN.JK,PT Amman Mineral Internasional Tbk.,2026-08-31,Basic Materials,Basic Materials,Main,0,,,0,1,2026-08-31,13732936650720.0,2722562272140.0,94870592355600,143273384112480,238143976468080,110786062912260.0,3289192602240.0,1690559055360.0,2026-03-31,4330,53452700,314003882450480,,153,1,0.0,0,0.6016250599211939,0,0,0.8381689884450166,0,0.03777777777777778,0.03622268428527635,
IMPC.JK,PT Impack Pratama Industri Tbk,2026-08-31,Industrials,Industrial Goods,Main,0,,,0,1,2026-08-31,1289965716265.0,243898051256.0,3413006148968,1911646326302,5324652475270,1060939124233.0,271762241515.0,154982281413.0,2026-06-30,1380,12281300,75771660000000,,62,1,0.0,0,0.35901804581247626,0,0,0.8974670547063986,0,0.226890756302521,0.03708158816041075,
AADI.JK,PT Adaro Andalan Indonesia Tbk,2026-08-31,Energy,"Oil, Gas & Coal",Main,0,,,0,1,2026-08-31,26891529196000.0,5919682573000.0,70419659821000,42728474901000,113148134722000,12581189201000.0,7241595319000.0,6361036115000.0,2026-06-30,10825,15204800,84293103302000,,62,1,0.0,0,0.37763304720826363,0,0,0.8311390622766265,0,0.0,0.01996155599547648,
