symbol,event_date,reason,pdf_url,fetched_at,raw_response
HUMI.JK,2025-08-28,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham HUMI.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250827-WAS_Suspensi_HUMI.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham HUMI.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'HUMI.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250827-WAS_Suspensi_HUMI.pdf', 'suspension_date': '2025-08-28'}"
JARR.JK,2025-08-27,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham JARR.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250826-WAS_Suspensi_JARR.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham JARR.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'JARR.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250826-WAS_Suspensi_JARR.pdf', 'suspension_date': '2025-08-27'}"
MLPT.JK,2025-08-27,Terjadinya peningkatan harga kumulatif yang signifikan pada saham MLPT.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250826-WAS_Suspensi_MPLT.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham MLPT.JK', 'symbol': 'MLPT.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250826-WAS_Suspensi_MPLT.pdf', 'suspension_date': '2025-08-27'}"
PSKT.JK,2025-08-27,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham PSKT.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250826-WAS_Suspensi_PSKT.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham PSKT.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'PSKT.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250826-WAS_Suspensi_PSKT.pdf', 'suspension_date': '2025-08-27'}"
COIN.JK,2025-08-26,Terjadinya peningkatan harga kumulatif yang signifikan pada saham COIN.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250825-WAS_Suspensi_COIN.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham COIN.JK', 'symbol': 'COIN.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250825-WAS_Suspensi_COIN.pdf', 'suspension_date': '2025-08-26'}"
DATA.JK,2025-08-26,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham DATA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250825-WAS_Suspensi_DATA.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham DATA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'DATA.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250825-WAS_Suspensi_DATA.pdf', 'suspension_date': '2025-08-26'}"
NINE.JK,2025-08-26,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham NINE.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250825-WAS_Suspensi_NINE.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham NINE.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'NINE.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250825-WAS_Suspensi_NINE.pdf', 'suspension_date': '2025-08-26'}"
ASLC.JK,2025-08-22,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham ASLC.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250821-WAS_Suspensi_ASLC.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham ASLC.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'ASLC.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250821-WAS_Suspensi_ASLC.pdf', 'suspension_date': '2025-08-22'}"
LAPD.JK,2025-08-22,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham LAPD.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250821-WAS_Suspensi_LAPD.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham LAPD.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'LAPD.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250821-WAS_Suspensi_LAPD.pdf', 'suspension_date': '2025-08-22'}"
LIFE.JK,2025-08-22,Terjadinya peningkatan harga kumulatif yang signifikan pada saham LIFE.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250821-WAS_Suspensi_LIFE.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham LIFE.JK', 'symbol': 'LIFE.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250821-WAS_Suspensi_LIFE.pdf', 'suspension_date': '2025-08-22'}"
