symbol,snapshot_date,free_float,sub_sector,fetched_at,raw_response
NATO.JK,2026-09-03,0.65584,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'NATO.JK', 'free_float': 0.65584, 'company_name': 'PT Olympus Strategic Indonesia Tbk'}"
JSKY.JK,2026-09-03,0.6498,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'JSKY.JK', 'free_float': 0.6498, 'company_name': 'PT Sky Energy Indonesia Tbk'}"
PCAR.JK,2026-09-03,0.63806,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'PCAR.JK', 'free_float': 0.63806, 'company_name': 'PT Prima Cakrawala Abadi Tbk'}"
YELO.JK,2026-09-03,0.63467,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'YELO.JK', 'free_float': 0.63467, 'company_name': 'PT Yelooo Integra Datanet Tbk'}"
BEBS.JK,2026-09-03,0.6289,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BEBS.JK', 'free_float': 0.6289, 'company_name': 'PT Berkah Beton Sadaya Tbk'}"
APIC.JK,2026-09-03,0.6277,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'APIC.JK', 'free_float': 0.6277, 'company_name': 'Pacific Strategic Financial Tbk'}"
PURE.JK,2026-09-03,0.6269,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'PURE.JK', 'free_float': 0.6269, 'company_name': 'PT Trinitan Metals and Minerals Tbk'}"
LABA.JK,2026-09-03,0.6266,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'LABA.JK', 'free_float': 0.6266, 'company_name': 'PT Green Power Group Tbk'}"
BHIT.JK,2026-09-03,0.62659,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BHIT.JK', 'free_float': 0.62659, 'company_name': 'PT MNC Asia Holding Tbk'}"
BCIP.JK,2026-09-03,0.6236,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BCIP.JK', 'free_float': 0.6236, 'company_name': 'Bumi Citra Permai Tbk'}"
UVCR.JK,2026-09-03,0.6234,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'UVCR.JK', 'free_float': 0.6234, 'company_name': 'PT Trimegah Karya Pratama Tbk'}"
WSBP.JK,2026-09-03,0.6176,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'WSBP.JK', 'free_float': 0.6176, 'company_name': 'PT Waskita Beton Precast Tbk'}"
VKTR.JK,2026-09-03,0.6123,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'VKTR.JK', 'free_float': 0.6123, 'company_name': 'PT VKTR Teknologi Mobilitas Tbk'}"
AKKU.JK,2026-09-03,0.6108,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'AKKU.JK', 'free_float': 0.6108, 'company_name': 'PT Anugerah Kagum Karya Utama Tbk'}"
BIPI.JK,2026-09-03,0.6081,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BIPI.JK', 'free_float': 0.6081, 'company_name': 'PT Astrindo Nusantara Infrastruktur Tbk.'}"
RAFI.JK,2026-09-03,0.6058,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'RAFI.JK', 'free_float': 0.6058, 'company_name': 'PT Sari Kreasi Boga Tbk'}"
DILD.JK,2026-09-03,0.6042,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'DILD.JK', 'free_float': 0.6042, 'company_name': 'Intiland Development Tbk'}"
MEJA.JK,2026-09-03,0.6038,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'MEJA.JK', 'free_float': 0.6038, 'company_name': 'PT Harta Djaya Karya Tbk'}"
BRMS.JK,2026-09-03,0.5985,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BRMS.JK', 'free_float': 0.5985, 'company_name': 'Bumi Resources Minerals Tbk'}"
KIOS.JK,2026-09-03,0.597,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'KIOS.JK', 'free_float': 0.597, 'company_name': 'PT Kioson Komersial Indonesia Tbk'}"
IIKP.JK,2026-09-03,0.5913,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'IIKP.JK', 'free_float': 0.5913, 'company_name': 'Inti Agri Resources Tbk'}"
INPC.JK,2026-09-03,0.591,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'INPC.JK', 'free_float': 0.591, 'company_name': 'Bank Artha Graha Internasional Tbk'}"
WMUU.JK,2026-09-03,0.5905,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'WMUU.JK', 'free_float': 0.5905, 'company_name': 'PT Widodo Makmur Unggas Tbk'}"
NINE.JK,2026-09-03,0.5898,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'NINE.JK', 'free_float': 0.5898, 'company_name': 'PT Techno9 Indonesia Tbk'}"
FIMP.JK,2026-09-03,0.5898,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'FIMP.JK', 'free_float': 0.5898, 'company_name': 'PT Fimperkasa Utama Tbk'}"
MREI.JK,2026-09-03,0.581,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'MREI.JK', 'free_float': 0.581, 'company_name': 'Maskapai Reasuransi Indonesia Tbk'}"
GPSO.JK,2026-09-03,0.576,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'GPSO.JK', 'free_float': 0.576, 'company_name': 'PT Geoprima Solusi Tbk'}"
MENN.JK,2026-09-03,0.5749,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'MENN.JK', 'free_float': 0.5749, 'company_name': 'PT Menn Teknologi Indonesia Tbk'}"
ESSA.JK,2026-09-03,0.5737,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ESSA.JK', 'free_float': 0.5737, 'company_name': 'ESSA Industries Indonesia Tbk'}"
SMRA.JK,2026-09-03,0.5735,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'SMRA.JK', 'free_float': 0.5735, 'company_name': 'PT Summarecon Agung Tbk'}"
